type,category,title,link
classical_art,Abstract,Area Broken by Perpendiculars (ca. 1934) ,https://artvee.com/dl/area-broken-by-perpendiculars/
classical_art,Abstract,Abstract Pattern Portfolio Pl.05 (1930) ,https://artvee.com/dl/abstract-pattern-portfolio-pl-05/
classical_art,Abstract,De visschers (1921) ,https://artvee.com/dl/de-visschers/
classical_art,Abstract,Zoological Garden I (1912) ,https://artvee.com/dl/zoological-garden-i/
classical_art,Abstract,Kunstgewerbliche Schmuckformen fur die Flache Pl 32 (1920) ,https://artvee.com/dl/kunstgewerbliche-schmuckformen-fur-die-flache-pl-32/
classical_art,Abstract,Le Broc (1920) ,https://artvee.com/dl/le-broc/
classical_art,Abstract,Cubist still life (1915) ,https://artvee.com/dl/cubist-still-life-2/
classical_art,Abstract,Pale Face with Red Hair,https://artvee.com/dl/pale-face-with-red-hair/
classical_art,Abstract,Besneeuwd plein met twee bomen (1928) ,https://artvee.com/dl/besneeuwd-plein-met-twee-bomen/
classical_art,Abstract,Study for Proun 4B (1920) ,https://artvee.com/dl/study-for-proun-4b/
classical_art,Abstract,"Composition in red, blue, green and yellow (1913) ",https://artvee.com/dl/composition-in-red-blue-green-and-yellow/
classical_art,Abstract,The Váh in Mist (1934) ,https://artvee.com/dl/the-vah-in-mist/
classical_art,Abstract,Brandung (Motiv aus Sylt) (1948) ,https://artvee.com/dl/brandung-motiv-aus-sylt/
classical_art,Abstract,La Saucière Et Les Ronds De Serviette (circa 1896-97) ,https://artvee.com/dl/la-sauciere-et-les-ronds-de-serviette/
classical_art,Abstract,Wetterleuchten (Sheet Lightning) (1913–22) ,https://artvee.com/dl/wetterleuchten-sheet-lightning/
classical_art,Abstract,Untitled Compositions (circa 1921) ,https://artvee.com/dl/untitled-compositions-2/
classical_art,Abstract,Stories in Wilderness – 6 (1939–1940) ,https://artvee.com/dl/stories-in-wilderness-6/
classical_art,Abstract,Aufbau in Papier (around 1923) ,https://artvee.com/dl/aufbau-in-papier/
classical_art,Abstract,"Menaggio, Corpus Domini",https://artvee.com/dl/menaggio-corpus-domini/
classical_art,Abstract,"Abstract Head,Gold and Pink (1931) ",https://artvee.com/dl/abstract-headgold-and-pink/
classical_art,Abstract,Still Life with a Glass (1913) ,https://artvee.com/dl/still-life-with-a-glass/
classical_art,Abstract,Alphütten (Frauenkirch) (1925) ,https://artvee.com/dl/alphutten-frauenkirch/
classical_art,Abstract,Das Liebespaar (1919) ,https://artvee.com/dl/das-liebespaar/
classical_art,Abstract,Figures Et Ancre Marine (1930) ,https://artvee.com/dl/figures-et-ancre-marine/
classical_art,Abstract,Belebte Landschaft (1925) ,https://artvee.com/dl/belebte-landschaft/
classical_art,Abstract,Rød komposisjon,https://artvee.com/dl/rod-komposisjon/
classical_art,Abstract,"Ohne Titel (but but), Merzzeichnung (1947) ",https://artvee.com/dl/ohne-titel-but-but-merzzeichnung/
classical_art,Abstract,Twee rozen (1920) ,https://artvee.com/dl/twee-rozen/
classical_art,Abstract,"Ontwerp voor een oorkonde van Arti en Amicitiae voor Prins Hendrik, bij zijn erelidmaatschap in 1902 (1874) ",https://artvee.com/dl/ontwerp-voor-een-oorkonde-van-arti-en-amicitiae-voor-prins-hendrik-bij-zijn-erelidmaatschap-in-1902/
classical_art,Abstract,Ontwerp voor raam in het Noordertransept in de Dom te Utrecht 38 (ca. 1878-1938) ,https://artvee.com/dl/ontwerp-voor-raam-in-het-noordertransept-in-de-dom-te-utrecht-38/
classical_art,Abstract,Bloemen (1916) ,https://artvee.com/dl/bloemen-3/
classical_art,Abstract,Crouching Female (1910 - 1915) ,https://artvee.com/dl/crouching-female/
classical_art,Abstract,Autumn in the Forest (1895) ,https://artvee.com/dl/autumn-in-the-forest/
classical_art,Abstract,Suggestions pour étoffes et tapis Pl.06 (1923) ,https://artvee.com/dl/suggestions-pour-etoffes-et-tapis-pl-06/
classical_art,Abstract,Das Park-Konzert (Ca. 1908) ,https://artvee.com/dl/das-park-konzert/
classical_art,Abstract,Luonnos maalaukseen Fantasia 1895 (1894 - 1895) ,https://artvee.com/dl/luonnos-maalaukseen-fantasia-1895/
classical_art,Abstract,Lizards (1912) ,https://artvee.com/dl/lizards-2/
classical_art,Abstract,Decoratief ontwerp (1874) ,https://artvee.com/dl/decoratief-ontwerp-13/
classical_art,Abstract,Egyptisch bloemenfries (1890) ,https://artvee.com/dl/egyptisch-bloemenfries/
classical_art,Abstract,Greenhouse (1939) ,https://artvee.com/dl/greenhouse/
classical_art,Abstract,Twee zittende meisjes in een landschap (1919-08) ,https://artvee.com/dl/twee-zittende-meisjes-in-een-landschap/
classical_art,Abstract,Ornamentaal ontwerp met namen van Van Stolk’s Commissiehandel (1874) ,https://artvee.com/dl/ornamentaal-ontwerp-met-namen-van-van-stolks-commissiehandel/
classical_art,Abstract,Ace of Clubs and Four of Diamonds (1912) ,https://artvee.com/dl/ace-of-clubs-and-four-of-diamonds/
classical_art,Abstract,Abstrahierte Giebel (1918) ,https://artvee.com/dl/abstrahierte-giebel/
classical_art,Abstract,Gestileerd bloemmotief (1905) ,https://artvee.com/dl/gestileerd-bloemmotief/
classical_art,Abstract,Study for ‘Fusion of a Head and a Window’ (1912) ,https://artvee.com/dl/study-for-fusion-of-a-head-and-a-window/
classical_art,Abstract,Combing (Woman with a Mirror) (1931) ,https://artvee.com/dl/combing-woman-with-a-mirror/
classical_art,Abstract,Telephone (1916) ,https://artvee.com/dl/telephone/
